식품명,영양성분함량기준량,에너지(kcal),단백질(g),지방(g),탄수화물(g),당류(g),나트륨(mg),콜레스테롤(mg),포화지방산(g),트랜스지방산(g),식품중량
배추전,100g,160,3.44,5.78,23.68,3.35,218.0,4.82,0.92,0.05,150g
버섯전,100g,160,7.02,9.91,10.8,1.83,209.0,66.73,1.53,0.04,150g
새우전,100g,188,9.99,11.33,11.57,1.87,349.0,131.08,1.95,0.06,100g
생선전,100g,154,17.17,7.38,4.61,0.2,546.0,117.51,1.5,0.04,150g
소고기산적,100g,227,24.2,12.78,3.67,0.0,696.0,67.42,3.53,0.44,200g
소라산적,100g,150,22.4,3.14,8.06,1.06,496.0,125.43,0.47,0.02,80g
오징어산적,100g,127,21.72,2.47,4.5,1.14,596.0,292.81,0.34,0.0,80g
완자전,100g,206,13.08,13.33,8.45,0.65,369.0,68.84,3.1,0.08,150g
해물파전,100g,205,6.81,12.09,17.29,2.02,295.0,40.31,1.16,0.05,1330g
햄부침,100g,244,11.3,17.1,11.3,1.0,716.0,72.11,4.4,0.1,100g
홍합산적,100g,196,22.23,6.0,13.22,4.17,900.0,75.89,1.04,0.05,80g
차돌박이구이,100g,488,17.94,45.69,1.31,0.33,93.0,47.28,16.24,3.79,100g
콘치즈구이,100g,224,9.51,12.85,17.56,7.31,313.0,22.06,4.5,0.11,100g
함박스테이크,100g,189,9.9,10.46,13.88,4.64,344.0,25.8,3.56,0.07,593g
훈제오리,100g,319,17.22,25.63,4.83,0.11,488.0,68.4,6.39,0.16,250g
고추전,100g,183,8.61,11.48,11.34,1.45,241.0,52.54,2.35,0.06,150g
깻잎전,100g,241,11.82,17.18,9.7,0.71,320.0,87.86,3.62,0.1,150g
꼬치구치,100g,94,16.43,1.59,3.53,0.0,259.0,167.18,0.17,0.01,80g
두부부침,100g,144,12.13,9.4,2.69,0.33,132.0,4.35,1.5,0.05,100g
막창구이,100g,358,15.34,32.73,0.4,1.36,162.0,109.41,12.11,1.2,100g
스테이크,100g,153,11.09,8.36,8.47,4.52,145.0,33.88,3.31,0.09,477g
연어구이,100g,234,24.78,14.94,0.2,0.55,158.0,44.98,2.17,0.08,100g
오겹살구이,100g,408,20.18,35.14,2.72,0.72,76.0,45.6,10.23,0.24,100g
임연수구이,100g,198,21.52,11.76,1.4,0.0,628.0,85.04,2.44,0.68,250g
족발,100g,220,28.91,11.65,0.0,0.28,332.0,92.54,3.77,0.04,100g
해물찜,100g,88,6.63,3.53,7.52,6.3,491.0,31.97,0.26,0.01,844g
갈매기살구이,100g,312,26.98,22.6,0.28,0.0,124.0,96.84,9.82,0.05,100g
갈비구이,100g,294,19.58,21.39,5.78,5.7,389.0,59.95,7.61,0.09,100g
꼬치구이,100g,252,16.52,12.24,19.07,4.5,410.0,44.92,3.31,0.06,70g
꿩불고기,100g,74,6.7,1.7,7.94,3.38,253.0,21.24,0.38,0.02,500g
닭튀김(치킨),100g,276,17.75,13.4,21.15,6.25,403.0,68.9,2.7,0.1,200g
대창구이,100g,595,9.11,60.25,4.05,1.13,126.0,51.05,25.6,2.47,100g
돼지껍데기구이,100g,348,23.74,26.64,3.37,3.42,475.0,35.76,9.08,0.58,100g
대구찜,100g,75,10.34,1.58,4.94,1.14,380.0,52.66,0.22,0.0,500g
동태찜,100g,79,10.18,1.94,5.16,1.14,397.0,56.84,0.32,0.02,500g
동파육,100g,191,8.99,15.41,4.15,0.74,299.0,31.6,4.4,0.1,100g
돼지고기,100g,164,29.36,4.44,1.56,0.2,62.0,386.25,1.83,0.03,100g
돼지등갈비찜,100g,214,16.02,10.93,12.76,5.36,532.0,44.35,3.58,0.07,450g
북어찜,100g,157,18.73,3.8,12.0,4.27,601.0,102.07,0.6,0.07,150g
붕어찜,100g,76,4.94,3.35,6.51,1.47,359.0,16.93,0.53,0.03,1100g
수란,100g,145,12.3,11.7,0.2,,110.0,420.0,3.21,0.0,100g
순대,100g,181,6.52,8.55,19.45,1.17,340.0,6.41,2.43,0.04,300g
아귀찜,100g,77,6.68,2.79,6.37,1.67,261.0,46.6,0.36,0.04,1557g
오징어순대,100g,133,13.06,1.6,16.66,0.11,360.0,147.84,0.4,0.0,350g
조기찜,100g,182,20.06,10.59,1.64,0.0,602.0,138.43,2.85,0.08,100g
해물탕,100g,33,4.11,0.96,2.02,0.86,402.0,53.93,0.11,0.0,1216g
해신탕,100g,57,7.93,1.88,2.03,0.41,266.0,51.03,0.38,0.0,100g
호박찌개,100g,32,1.87,0.87,4.07,1.93,341.0,3.09,0.13,0.0,300g
훠궈,100g,93,4.81,5.11,6.83,1.13,390.0,9.65,0.97,0.07,100g
갈비찜,100g,172,20.43,6.57,7.9,3.57,380.0,54.43,2.67,0.17,300g
꼬막무침,100g,107,8.34,4.72,7.69,4.28,516.0,29.88,0.64,0.03,100g
